PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
CH;BOCCHETTA DEL BLAS;4736;1892;20109999;19909999;0.052;-82;-17236;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 893.0. ID SGI 2010: A14I/02.
CH;BOCHERESSE GLACIER DE;5645;2777;20109999;19839999;0.222;-178;-20260;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2771.0. ID SGI 2010: B82/45.
CH;BOCKTSCHINGELFIRN;4826;1979;20109999;19909999;0.816;-174;-20987;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 209.0. ID SGI 2010: A51D/07.
CH;BODMER;1671;1024;20119999;19819999;0.328;0;-21730;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;"Survey date method: P & L. Reference date method: M. ID SGI 1973: 1834.0. ID SGI 2010: B32/06."""
CH;BOES FULEN-S;4810;1963;20109999;19799999;0.039;-140;-29515;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 20.0. ID SGI 2010: A50J/09.
CH;BOESHORN-NE;5735;2867;20119999;19719999;0.013;-1;-7517;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2158.0. ID SGI 2010: C02/10n.
CH;BONDASCA VADREC DA LA;5778;2910;20099999;19919999;1.13;-734;-15740;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2040.0. ID SGI 2010: C85/06.
CH;BORTEL;5424;2563;20119999;19749999;0.018;-189;-25224;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2090.0. ID SGI 2010: B47/02.
CH;BOSSES;5693;2825;20109999;19659999;0.019;-12;-12027;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2436.0. ID SGI 2010: B92/16n.
CH;BOUQUETINS;5553;2685;20109999;19699999;0.082;-4;-2276;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2490.0. ID SGI 2010: B63/18n.
