PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
CH;LOETSCHEN (NO. 110);5184;2326;20119999;19809999;0.611;-311;-24183;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1686.0. ID SGI 2010: A55B/16.
CH;LOIBINBACH-E;5268;2409;20119999;19869999;0.432;-170;-19068;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1728.0. ID SGI 2010: B32/02.
CH;LOIBINBACH-W;5275;2416;20119999;19789999;0.228;-143;-16253;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1760.0. ID SGI 2010: B32/10n.
CH;LONZAHOERNER-NW;5265;2406;20119999;19789999;0.005;-14;-14549;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1712.0. ID SGI 2010: B31/24n.
CH;LORENZHORN;4686;1843;20099999;19689999;0.045;-84;-10033;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1153.0. ID SGI 2010: A14D/04.
CH;LOUETTES ECONDOUE GLACIER DES;5616;2748;20109999;19679999;0.018;-194;-25449;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2443.0. ID SGI 2010: B75/13.
CH;LOUWIHORN;5146;2289;20119999;19749999;0.056;0;-2250;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1187.0. ID SGI 2010: A54M/37n.
CH;LUCENDRO GHIACCIAIO DI;4854;2006;20099999;19759999;0.026;-198;-30141;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1076.0. ID SGI 2010: A51E/16.
CH;LUETTE GLACIER DE LA;5603;2735;20109999;19839999;0.651;-233;-17910;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2680.0. ID SGI 2010: B74/09.
CH;M. FORT GLACIER DU;4599;1757;20109999;19889999;0.336;-136;-21449;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 3057.0. ID SGI 2010: B75/09.
CH;M. RUAN GLACIER DU (PART OF B95/20N);5709;2841;20109999;19719999;0.886;-174;-16228;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2309.0. ID SGI 2010: B95/09.
CH;MAASPLANGGFIRN (PART OF A51F/15);4920;2070;20109999;19869999;0.845;-244;-17297;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 616.0. ID SGI 2010: A51F/69n.
CH;MAEBIGLUECKE-NW;5198;2340;20119999;19789999;0.017;-30;-3665;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1647.0. ID SGI 2010: A55B/35n.
CH;MAEHREN-E;4969;2115;20109999;19699999;0.128;-254;-15905;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 375.0. ID SGI 2010: A54E/02.
CH;MAEHRENHORN-N;4997;2141;20109999;19699999;0.024;-102;-18141;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 566.0. ID SGI 2010: A54E/42n.
CH;MAELLIGA;5436;2575;20099999;19889999;0.294;-262;-16702;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2316.0. ID SGI 2010: B51/14.
CH;MAESSPLANGGSTOCK;4878;2030;20109999;19869999;0.176;-73;-22191;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 641.0. ID SGI 2010: A51F/12.
CH;MAETTENBERG-N;5110;2254;20099999;19739999;0.043;-49;-4301;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 783.0. ID SGI 2010: A54L/24n.
CH;MAETTENBERG-NW;5111;2255;20099999;19739999;0.01;-24;-5379;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 785.0. ID SGI 2010: A54L/25n.
CH;MAETTITAL;5410;2549;20119999;19749999;0.186;-386;-23715;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2063.0. ID SGI 2010: B46/22.
CH;MAIGHELS EAST BRANCH;2316;1074;20109999;19909999;0.417;0;-19140;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 827.0. ID SGI 2010: A14I/04.
CH;MAIGHELS WEST BRANCH;2317;1075;20109999;19909999;0.245;0;-17080;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 864.0. ID SGI 2010: A14I/05.
CH;MAISAS VADRET DA LAS;5856;2986;20089999;19919999;0.471;-128;-13294;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 150.0. ID SGI 2010: E50/06.
CH;MAJING;5235;2376;20109999;19859999;0.114;-75;-24395;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1929.0. ID SGI 2010: B25/07.
CH;MANZETTES GLACIER DES (PART OF B72/26N);5562;2694;20109999;19839999;0.899;-482;-18265;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2625.0. ID SGI 2010: B72/10.
CH;MARTINETS;358;221;20109999;19699999;0.366;0;-12200;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2149.0. ID SGI 2010: B17/08.
CH;MATTERHORN;5491;2625;20109999;19889999;1.602;-644;-10855;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2765.0. ID SGI 2010: B57/02.
CH;MATTWALD;5429;2568;20119999;19719999;0.436;-637;-22453;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2172.0. ID SGI 2010: B51/02.
CH;MEDEL GLATSCHER DA-W;4711;1867;20109999;19909999;1.851;-331;-19082;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 699.0. ID SGI 2010: A14G/02.
CH;MEITIN GLACIER DU;5656;2788;20109999;19679999;0.066;-111;-11627;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2881.0. ID SGI 2010: B84/09.
CH;MELLICH;5469;2607;20099999;19829999;4.619;-696;-8509;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2587.0. ID SGI 2010: B55/18.
CH;MELLICH-S (PART OF B55/35N);5478;2615;20099999;19829999;1.414;-780;-12881;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2634.0. ID SGI 2010: B55/36n.
CH;MER GLATSCHER DA;4780;1933;20109999;19909999;0.422;-509;-19443;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 93.0. ID SGI 2010: A14N/11.
CH;MERDERE GLACIER DE;5597;2729;20109999;19839999;0.096;-86;-16460;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2478.0. ID SGI 2010: B74/01.
CH;MEREZEBACH-E;5394;2533;20099999;19879999;0.038;-82;-12219;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1592.0. ID SGI 2010: B45/20n.
CH;MEREZEBACH-W;5390;2529;20099999;19879999;0.048;-244;-28101;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1598.0. ID SGI 2010: B45/07.
CH;METAIL GLACIER DE;5610;2742;20109999;19679999;0.036;-49;-10087;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2387.0. ID SGI 2010: B74/20.
CH;MILIBACH;5238;2379;20119999;19789999;0.116;-264;-30357;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1688.0. ID SGI 2010: B30/05.
CH;MINSTIGER;4572;1723;18959999;18819999;3.365569;;880;190;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1724;19159999;18959999;3.365569;;-160;270;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1725;19469999;19159999;3.362271;;-3510;30;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1726;19569999;19469999;3.397508;;-150;60;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1727;19619999;19569999;3.424263;;-530;100;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1728;19739999;19619999;3.002241;;-1060;80;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1729;19819999;19739999;2.859438;;500;10;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1730;19879999;19819999;2.857121;;60;80;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1731;19939999;19879999;2.74301;;-1130;10;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1732;19999999;19939999;2.740405;;0;90;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;4572;1733;20069999;19999999;2.4863;;-2160;80;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MINSTIGER;474;481;20099999;19759999;2.255;-1000;-21990;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1204.0. ID SGI 2010: B41/07.
CH;MINSTIGER;4572;1734;20099999;20069999;;;-540;210;A. Ramp;Dept. Geography, Univ. Zurich, Switzerland;;
CH;MISAUN VADRET DA;5804;2936;20099999;19919999;0.813;-205;-20453;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1602.0. ID SGI 2010: E23/03.
CH;MISAUN VADRETTIN DA-N;5802;2934;20099999;19919999;0.024;-279;-11888;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1561.0. ID SGI 2010: E23/01.
CH;MISAUN VADRETTIN DA-S;5803;2935;20099999;19919999;0.246;-109;-19728;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1583.0. ID SGI 2010: E23/02.
CH;MISELENEGG-N;5046;2190;20109999;19739999;0.011;-19;-18496;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 919.0. ID SGI 2010: A54G/57n.
CH;MITTAG;4874;2026;20109999;19869999;0.018;-62;-16830;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 686.0. ID SGI 2010: A51F/02.
CH;MITTAGHORN-W (GROUP OF GLACIERETS);5151;2294;20119999;19739999;0.011;-12;-3774;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1378.0. ID SGI 2010: A54M/44n.
CH;MITTELALETSCH;470;469;20119999;19779999;6.84;-1000;-20620;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1476.0. ID SGI 2010: B36/21.
CH;MITTELLEGI-NW (GROUP OF GLACIERETS);5107;2251;20119999;19739999;0.066;-91;-15865;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 868.0. ID SGI 2010: A54L/20.
CH;MITTLER TIERBERG;4981;2127;20109999;19869999;0.359;-104;-11515;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 589.0. ID SGI 2010: A54E/20.
CH;MITTLERER BREITLOUWENEN;5131;2274;20119999;19869999;0.484;-296;-20047;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1261.0. ID SGI 2010: A54M/13.
CH;MOENCHPLATEAU (GROUP OF GLACIERETS);5122;2266;20119999;19749999;0.009;-11;-10965;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1010.0. ID SGI 2010: A54M/04.
CH;MOIRY;380;281;20109999;19839999;4.892;-1000;-16310;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2422.0. ID SGI 2010: B64/02.
CH;MOMING;381;282;20109999;19839999;5.225;-1000;-13050;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2435.0. ID SGI 2010: B62/10.
CH;MONT BLANC DE CHEILON;5612;2744;20109999;19679999;0.129;-30;-3256;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2763.0. ID SGI 2010: B74/25n.
CH;MONT CALME;5614;2746;20109999;19889999;0.13;-171;-18653;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2469.0. ID SGI 2010: B75/05.
CH;MONT COLLON N-I;5582;2714;20109999;19699999;0.164;-66;-4296;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2795.0. ID SGI 2010: B73/13.
CH;MONT COLLON-N-II;5591;2723;20109999;19699999;0.024;-11;-8835;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2790.0. ID SGI 2010: B73/31n.
CH;MONT DE L'ETOILE-I;5596;2728;20109999;19839999;0.022;-17;-11061;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2504.0. ID SGI 2010: B73/38n.
CH;MONT DURAND;369;270;20109999;19889999;6.028;-2000;-20540;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2872.0. ID SGI 2010: B82/36.
CH;MONT FORT-E;4600;1758;20109999;19679999;0.006;-8;-3781;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 3062.0. ID SGI 2010: B75/16n.
CH;MONT MINE;378;279;20109999;19839999;9.838;-1000;-19300;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2590.0. ID SGI 2010: B72/15.
CH;MONT MINE-S-I;5570;2702;20109999;19779999;0.018;-12;-18534;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2673.0. ID SGI 2010: B72/27n.
CH;MONT MINE-S-II;5564;2696;20109999;19779999;0.044;-24;-16777;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2666.0. ID SGI 2010: B72/13.
CH;MONT VELAN-W;5663;2795;20109999;19719999;0.039;-14;-6096;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2919.0. ID SGI 2010: B84/21.
CH;MONTAY GLACIER DE;5566;2698;20109999;19839999;0.171;-186;-19986;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2601.0. ID SGI 2010: B72/17.
CH;MONTE DEL FORNO;5769;2901;20099999;19919999;0.058;-130;-29239;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1974.0. ID SGI 2010: C83/07.
CH;MONTE ROSA (PART OF B56/07);5484;2620;20099999;19829999;1.339;-406;-13916;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2833.0. ID SGI 2010: B56/21n.
CH;MONTO MORO GL.;3433;1386;19460701;19320701;0.31;-10;-6020;;;;;Methods used for survey/reference years are: TS/AP.
CH;MONTO MORO GL.;3433;1387;19560701;19460701;0.22;-90;-11500;;;;;Methods used for survey/reference years are: AP/AP.
CH;MONTO MORO GL.;3433;1388;19670701;19560701;0.191;-30;-4900;;;;;Methods used for survey/reference years are: AP/AP.
CH;MONTO MORO GL.;3433;1389;20099999;19889999;0.021;0;-19070;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2722.0. ID SGI 2010: B52/21.
CH;MORGENHORN;5164;2306;20119999;19739999;0.482;-126;-5013;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1333.0. ID SGI 2010: A55A/06.
